process_order,repetition_order,repetition,layout,cache_bytes,cache_mib,read_ahead_frames,read_ahead_seconds,direction,direction_order_index,deadline_miss_rate,post_warmup_deadline_miss_rate,presentation_misses,page_read_p95_ms,queue_delay_p95_ms,late_completion_p95_ms,file_reads,file_bytes,tensorstore_cache_hits,tensorstore_cache_misses,tensorstore_cache_evictions,peak_concurrent_field_reads,scheduler_promotions,scheduler_cancellations,speculative_pages,useful_speculative_pages,useful_speculative_ratio,presentation_cache_evictions,presentation_cache_peak_bytes,peak_rss_bytes
66,2,004,hybrid,134217728,128.0,700,1.0,forward,0,0.0,0.0,0,0.618875,0.4155,0.0,5,76530,294,9,0,3,0,0,48,48,1.0,18,53760,43630592
66,2,004,hybrid,134217728,128.0,700,1.0,reverse,1,0.0,0.0,0,0.609166,1.965333,0.0,0,0,300,0,0,3,0,0,48,48,1.0,18,53760,43679744
67,3,004,hybrid,0,0.0,0,0.0,forward,0,0.0,0.0,0,2.227917,0.085708,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35454976
67,3,004,hybrid,0,0.0,0,0.0,reverse,1,0.0,0.0,0,2.646042,0.103917,0.0,250,3826500,0,450,0,3,0,0,0,0,0.0,18,53760,35454976
68,4,004,regular,134217728,128.0,0,0.0,forward,0,0.0,0.0,0,0.98725,0.092166,0.0,3,603167,147,3,0,3,0,0,0,0,0.0,18,53760,45367296
68,4,004,regular,134217728,128.0,0,0.0,reverse,1,0.0,0.0,0,1.368167,0.192167,0.0,0,0,150,0,0,3,0,0,0,0,0.0,18,53760,45432832
69,5,004,hybrid,0,0.0,350,0.5,forward,0,0.0,0.0,0,3.091916,0.678334,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,36929536
69,5,004,hybrid,0,0.0,350,0.5,reverse,1,0.0,0.0,0,2.177,1.287375,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,36978688
70,6,004,hybrid,0,0.0,700,1.0,forward,0,0.0,0.0,0,3.061125,2.112167,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,36536320
70,6,004,hybrid,0,0.0,700,1.0,reverse,1,0.0,0.0,0,2.295834,9.566083,0.0,250,3826500,0,450,0,3,0,0,48,48,1.0,18,53760,36601856
71,7,004,hybrid,16777216,16.0,0,0.0,forward,0,0.0,0.0,0,0.924375,0.158209,0.0,5,76530,294,9,0,3,0,0,0,0,0.0,18,53760,43565056
71,7,004,hybrid,16777216,16.0,0,0.0,reverse,1,0.0,0.0,0,0.83175,0.141208,0.0,0,0,300,0,0,3,0,0,0,0,0.0,18,53760,43581440
