repetition,cache_bytes,cache_mib,layout,mode,workload,pass_index,cache_condition,requested_units,selected_instance_rows,logical_bytes,read_ms,wall_ms,p50_unit_ms,p95_unit_ms,max_unit_ms,storage_frames_per_second,file_reads,file_batch_reads,file_bytes,cache_hits,cache_misses,cache_evictions,value_digest
001,134217728,128.0,hybrid,full,sequential_ui_reverse,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,46.40311000000007,106.679083,0.026916000000000002,0.030416,0.059959,25601732.29768432,0,0,0,10406,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
001,134217728,128.0,regular,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,3651.0116119999957,3652.049875,0.20870900000000003,292.035374,513.763918,,50,50,21265717,974,50,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,134217728,128.0,regular,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,18.522099000000015,18.969042,0.135625,0.203,0.231083,,0,0,0,1024,0,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,134217728,128.0,regular,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,1613.2040029999996,1613.9135,0.071792,75.128791,185.16512300000002,,28,23,4823302,356,28,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
001,134217728,128.0,regular,full,random_frames_ui,1,workload_immediate_repeat_shared_process_cache,128,128,3072,8.490662999999996,8.737042,0.064876,0.081166,0.130251,,0,0,0,384,0,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
001,134217728,128.0,regular,full,random_ranges_contract,0,workload_first_pass_shared_process_cache,64,2048,139264,323.10221199999995,323.870666,0.11325099999999999,0.31875,313.97145800000004,,5,5,116100,507,5,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
001,134217728,128.0,regular,full,random_ranges_contract,1,workload_immediate_repeat_shared_process_cache,64,2048,139264,14.733879999999994,15.855875,0.199665,0.39112399999999997,1.1100400000000001,,0,0,0,512,0,0,22eed604776c14ca9b08375c6d812b383c580f0bcc4fb64bc3f921d96c4d7120
001,134217728,128.0,regular,full,sequential_contract_forward,0,workload_first_pass_shared_process_cache,1698,1187087,80721916,120.74742600000039,284.977625,0.070707,0.077624,0.11374899999999999,9838719.046482997,0,0,0,13659,0,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
001,134217728,128.0,regular,full,sequential_contract_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,80721916,119.176413,282.601916,0.069749,0.075875,0.11046,9968415.478321202,0,0,0,13659,0,0,b021cb12a40e37e28466406b6aff96023c9bd85a524242b5d24d83f31719746e
001,134217728,128.0,regular,full,sequential_ui_forward,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,49.513600000000004,115.534833,0.027084000000000004,0.041666999999999996,0.070292,23993407.87177664,0,0,0,5120,0,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
001,134217728,128.0,regular,full,sequential_ui_forward,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,45.39754900000018,102.986208,0.026791,0.029292,0.061458000000000006,26168813.65115097,0,0,0,5120,0,0,96d9ae52d98e3f544c9accc67b7f2acc8506daa6e5c3147b17d9a7c0c4735670
001,134217728,128.0,regular,full,sequential_ui_reverse,0,workload_first_pass_shared_process_cache,1698,1187087,28490088,45.075718,103.363334,0.026416000000000002,0.029500000000000002,0.053708,26355653.391921565,0,0,0,5120,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
001,134217728,128.0,regular,full,sequential_ui_reverse,1,workload_immediate_repeat_shared_process_cache,1698,1187087,28490088,45.16003100000011,103.377417,0.026458000000000002,0.029332999999999998,0.05525,26306447.84101227,0,0,0,5120,0,0,7a015f92bb3966c236ec8d43bb120b56847634356a809923c86a20f58f29ad5e
001,0,0.0,regular,full,random_frames_contract,0,workload_first_pass_shared_process_cache,128,128,8704,4449.584478999998,4450.274417,5.923124,262.242039,386.646876,,1024,896,371709109,0,1024,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,0,0.0,regular,full,random_frames_contract,1,workload_immediate_repeat_shared_process_cache,128,128,8704,803.1930489999997,803.541625,5.1216230000000005,10.833750000000002,43.094874,,1024,896,371709109,0,1024,0,2088661f75d94debeaef555365c9e793af09792fb6608d149414af8d76b42ecb
001,0,0.0,regular,full,random_frames_ui,0,workload_first_pass_shared_process_cache,128,128,3072,7261.929125999994,7263.801042,53.382125,68.518166,112.123917,,384,256,60605555,0,384,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
001,0,0.0,regular,full,random_frames_ui,1,workload_immediate_repeat_shared_process_cache,128,128,3072,7241.771044999997,7243.500625,53.797499,68.604834,103.356541,,384,256,60605555,0,384,0,05862f9493d6a8dbad4e24db20ad6263d3cf51fc266fc64ce3e3550f166ac06b
